2026-06-24T12:13:14.805423+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:12:56+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:13:44.904961+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:13:26+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:14:14.994470+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:13:56+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:14:45.079039+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:14:26+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:15:15.173378+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T12:45:00+00:00; mode=live; export=2026-06-24T13:14:56+00:00; candle=2026-06-24T12:45:00+00:00
2026-06-24T12:15:45.268572+00:00 WRITE_SPLIT: Writing split proposed orders: BUY USDCAD 0.07; BUY USDCHF 0.07; SELL USDJPY 98.36 as 101 capped chunks; mode=live; export=2026-06-24T13:15:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:16:15.356617+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:15:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:16:45.461678+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:16:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:17:15.549960+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:16:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:17:45.641834+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:17:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:18:15.747257+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:17:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:18:45.849379+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:18:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:19:15.953431+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:18:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:19:46.042496+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:19:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:20:16.143745+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:19:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:20:46.237628+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:20:26+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:21:16.330933+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:20:56+00:00; candle=2026-06-24T13:00:00+00:00
2026-06-24T12:21:46.425508+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-24T13:00:00+00:00; mode=live; export=2026-06-24T13:21:26+00:00; candle=2026-06-24T13:00:00+00:00
