2026-06-23T20:50:46.672389+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:50:21+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:51:08.915988+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:50:51+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:51:16.749729+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:50:51+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:51:38.990097+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:51:21+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:51:46.825111+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:51:21+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:52:09.067067+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:51:51+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:52:16.901878+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:51:51+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:52:39.142772+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:52:21+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:52:46.977832+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:52:21+00:00; candle=2026-06-23T20:45:00+00:00
2026-06-23T20:53:09.221021+00:00 ALREADY_WRITTEN: Already handled candle 2026-06-23T20:45:00+00:00; mode=live; export=2026-06-23T20:52:51+00:00; candle=2026-06-23T20:45:00+00:00
